task_name,arrival_time,deadline,k_multiplier,rt_exact
Susan,2439467,3026307,4,146710.0
SHA256,2497337,2497589,5,50.5
Susan,2500194,2940324,3,146710.0
FFT,2547533,4675457,3,709308.24
Blowfish,2553727,2555714,5,397.57
Sharpen,2565094,2565380,3,95.57
Primes,2606523,2606531,3,2.69
Susan,2608681,3048811,3,146710.0
SHA256,2611928,2612029,2,50.5
SHA256,2634751,2634902,3,50.5
Qsort,2651451,2651558,4,26.93
Sharpen,2656346,2656823,5,95.57
Stringsearch,2663883,2666003,4,530.0
Square_mmult,2676630,2677107,5,95.57
AES,2708926,2715532,4,1651.6
Qsort,2715017,2715070,2,26.93
Msort,2728023,2728087,3,21.45
Qsort,2734044,2734178,5,26.93
Norx,2739217,2739331,2,57.09
Norx,2775487,2775772,5,57.09
Msort,2784949,2785034,4,21.45
Qsort,2807719,2807799,3,26.93
Primes,2812865,2812878,5,2.69
BasicMath,2816028,3091078,5,55010.0
SHA256,2835449,2835550,2,50.5
Grayscale,2859546,2859725,2,89.83
AES,2875711,2882317,4,1651.6
Grayscale,2895896,2896345,5,89.83
Square_mmult,2913216,2913407,2,95.57
SHA256,2931779,2931981,4,50.5
SHA256,2970109,2970210,2,50.5
Dhrystone,3018108,3018214,4,26.63
Qsort,3029368,3029475,4,26.93
Blowfish,3030911,3031706,2,397.57
Norx,3054774,3055002,4,57.09
Norx,3069159,3069444,5,57.09
Stringsearch,3110647,3113297,5,530.0
CRC32,3128403,3175775,2,23686.0
FFT,3130788,4549404,2,709308.24
BasicMath,3148625,3258645,2,55010.0
Blowfish,3158357,3159549,3,397.57
Dhrystone,3160314,3160367,2,26.63
BasicMath,3164969,3440019,5,55010.0
Blowfish,3224062,3226049,5,397.57
Msort,3230912,3231019,5,21.45
Stringsearch,3235300,3236360,2,530.0
AES,3242850,3246153,2,1651.6
AES,3277995,3286253,5,1651.6
Grayscale,3296505,3296774,3,89.83
AES,3299866,3306472,4,1651.6
Primes,3300004,3300017,5,2.69
AES,3307450,3310753,2,1651.6
Blowfish,3310011,3310806,2,397.57
Blowfish,3345158,3345953,2,397.57
BasicMath,3346970,3456990,2,55010.0
Norx,3358602,3358716,2,57.09
Stringsearch,3375900,3378550,5,530.0
CRC32,3424690,3519434,4,23686.0
Qsort,3429628,3429762,5,26.93
Square_mmult,3459136,3459613,5,95.57
